epoch,loss,loss_data,loss_ic,loss_pde,D_mean,rho_mean,time_elapsed
1,0.4204842075705528,0.264119453728199,0.15603084862232208,0.0033391115139238536,0.009558032033964992,0.28580084443092346,1.6022800000064308
2,0.3625238910317421,0.3251354917883873,0.037364790216088295,0.00023620481670150184,0.009548551868647337,0.26934904605150223,2.6770026000012876
3,0.3316194713115692,0.2898828312754631,0.041301051154732704,0.004355958677479066,0.009614072274416685,0.2707364559173584,3.8064477000007173
4,0.30887846648693085,0.25392650812864304,0.051999145187437534,0.02952813683077693,0.009623442543670535,0.276542030274868,4.9021690000081435
5,0.2825653627514839,0.2567197158932686,0.018948230426758528,0.06897410936653614,0.009595294948667288,0.2803507149219513,5.889401500011445
6,0.2764197364449501,0.2544509619474411,0.0066410580184310675,0.15327714383602142,0.009492803364992142,0.2890493795275688,6.912358100002166
7,0.2773968577384949,0.2549246735870838,0.003013309382367879,0.19458873569965363,0.009373055072501302,0.3024921119213104,7.919233100008569
8,0.27569161355495453,0.2508648410439491,0.003129812947008759,0.21696963906288147,0.009281949838623405,0.3177849352359772,8.821208100009244
9,0.2722925990819931,0.25149237364530563,0.003660505171865225,0.1713971383869648,0.009191763820126653,0.33277951180934906,9.858395500006736
10,0.2704857960343361,0.24971123412251472,0.004974534967914224,0.15800021961331367,0.00913804629817605,0.34450313448905945,10.75090130000899
11,0.2693561911582947,0.25128915905952454,0.006279361085034907,0.11787666007876396,0.009040421573445201,0.35893266648054123,11.684344300010707
12,0.2682846039533615,0.24959922209382057,0.007544488180428743,0.11140890046954155,0.00890906504355371,0.37618380039930344,12.73414070000581
13,0.26793647557497025,0.24951564893126488,0.007542187697254121,0.10878640785813332,0.008668923284858465,0.39880363643169403,13.787080100009916
14,0.26551976799964905,0.2481079138815403,0.005866600200533867,0.1154524739831686,0.008329347474500537,0.42907027900218964,14.932843800008413
15,0.26435575634241104,0.24785448238253593,0.004236440756358206,0.12264832854270935,0.007901693345047534,0.47054683417081833,15.991221500007669
16,0.2623818665742874,0.2464255653321743,0.0035549806198105216,0.12401323206722736,0.007337980670854449,0.5289144814014435,17.109411800003727
17,0.26010826230049133,0.24529599398374557,0.0032087097060866654,0.11603558249771595,0.00661889452021569,0.6153378784656525,18.226951400007238
18,0.2561246380209923,0.2434658147394657,0.0027302683447487652,0.09928550943732262,0.0057296204613521695,0.7538845837116241,19.323986400006106
19,0.2496441826224327,0.23925749585032463,0.002433371904771775,0.07953314296901226,0.004645598586648703,1.0077981799840927,20.409545600006822
20,0.23626986891031265,0.22864563018083572,0.0017710803949739784,0.058531589806079865,0.0034232785110361874,1.5920937359333038,21.516375999999582
21,0.21107231825590134,0.20626771822571754,0.0015918337157927454,0.03212764905765653,0.0020542852580547333,3.5301371216773987,22.610855700011598
22,0.20084162056446075,0.19282903894782066,0.0008771182983764447,0.07135465368628502,0.0013193939230404794,6.009852886199951,23.777624200010905
23,0.1918899267911911,0.18696170300245285,0.0008948816830525175,0.04033342516049743,0.001400794368237257,4.9533851146698,24.810826800006907
24,0.12972227483987808,0.12560366839170456,0.0006427892149076797,0.03475813567638397,0.0012095340061932802,5.358432412147522,25.84629750000022
25,0.13447347842156887,0.1304664257913828,0.0004948680871166289,0.03512182738631964,0.0009219609055435285,6.661170244216919,26.953989100002218
26,0.13092049024999142,0.12488373555243015,0.0006961208018765319,0.0534063745290041,0.0007083051896188408,8.051162242889404,27.99772730001132
27,0.13534677773714066,0.12976470217108727,0.0007459823391400278,0.04836089722812176,0.0006818638066761196,7.370455622673035,29.05480840000382
